Species	Status	MinT	MaxT
Ahshislepelta_minor	extinct	72.1	83.6
Akainacephalus_johnsoni	extinct	76.2	76.3
Aletopelta _coombsi	extinct	72.1	83.6
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Ankylosaurus_magniventris	extinct	66	72.1
Anodontosaurus_inceptus	extinct	75.8	76.9
Anodontosaurus_inceptus	extinct	75.8	76.9
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Anodontosaurus_lambei	extinct	68	72.8
Bissektipelta _archibaldi	extinct	86.3	93.9
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Cedarpelta_bilbeyhallorum	extinct	98.4	104.5
Chuanqilong_chaoyangensis	extinct	113	125
Crichtonpelta _benxiensis	extinct	89.8	100.5
Crichtonpelta _benxiensis	extinct	89.8	100.5
Crichtonpelta _benxiensis	extinct	89.8	100.5
Crichtonsaurus_bohlini	extinct	89.8	100.5
Crichtonsaurus_bohlini	extinct	89.8	100.5
Crichtonsaurus_bohlini	extinct	89.8	100.5
Dyoplosaurus_acutosquameus	extinct	72.1	83.6
Dyoplosaurus_acutosquameus	extinct	72.1	83.6
Dyoplosaurus_acutosquameus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	72.1	83.6
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	75.79	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
Euoplocephalus_tutus	extinct	76.5	77.5
